#This is a simple dump of all molten liquids, in raw form, with their block names (in brackets) and their localized names, in the format of:

#FLUIDID 										  (FLUIDBLOCK)																	   = FLUIDLOCALIZEDNAME

#ANY AND ALL CHANGES TO THIS FILE WILL BE REPLACED WHEN THIS FILE IS REGENERATED NEXT TIME THE GAME IS RUN. THIS IS FOR INFORMATIONAL PURPOSES ONLY AND IS NOT A CONFIG FILE!

electrical_steel                                  (enderio:block_fluid_electrical_steel)                                           = Molten Electrical Steel
nihilite_fluid                                    (taiga:molten_nihilite_fluid)                                                    = Nihilite Fluid
adamant_fluid                                     (taiga:molten_adamant_fluid)                                                     = Adamant Fluid
dyonite_fluid                                     (taiga:molten_dyonite_fluid)                                                     = Dyonite Fluid
nucleum_fluid                                     (taiga:molten_nucleum_fluid)                                                     = Nucleum Fluid
lumix_fluid                                       (taiga:molten_lumix_fluid)                                                       = Lumix Fluid
seismum_fluid                                     (taiga:molten_seismum_fluid)                                                     = Seismum Fluid
astrium_fluid                                     (taiga:molten_astrium_fluid)                                                     = Astrium Fluid
niob_fluid                                        (taiga:molten_niob_fluid)                                                        = Niob Fluid
yrdeen_fluid                                      (taiga:molten_yrdeen_fluid)                                                      = Yrdeen Fluid
meteorite_fluid                                   (taiga:molten_meteorite_fluid)                                                   = Meteorite Fluid
obsidiorite_fluid                                 (taiga:molten_obsidiorite_fluid)                                                 = Obsidiorite Fluid
mithril                                           (tconstruct:molten_mithril)                                                      = Molten Mithril
constantan                                        (tconstruct:molten_constantan)                                                   = Molten Constantan
nickel                                            (tconstruct:molten_nickel)                                                       = Molten Nickel
tin                                               (tconstruct:molten_tin)                                                          = Molten Tin
brass                                             (tconstruct:molten_brass)                                                        = Molten Brass
terrasteel                                        (tconstruct:molten_terrasteel)                                                   = Molten Terrasteel
elvenelementium                                   (tconstruct:molten_elvenelementium)                                              = Molten Elementium
blutonium                                         (tconstruct:molten_blutonium)                                                    = Molten Blutonium
psi                                               (tconstruct:molten_psi)                                                          = Molten Psimetal
ivorypsi                                          (tconstruct:molten_ivorypsi)                                                     = Molten Ivory Psimetal
ebonypsi                                          (tconstruct:molten_ebonypsi)                                                     = Molten Ebony Psimetal
electrumflux                                      (tconstruct:molten_electrumflux)                                                 = Molten Fluxed Electrum
refinediron                                       (tconstruct:molten_refinediron)                                                  = Molten Refined Iron
tungsten                                          (tconstruct:molten_tungsten)                                                     = Molten Tungsten
chrome                                            (tconstruct:molten_chrome)                                                       = Molten Chrome
advancedalloy                                     (tconstruct:molten_advancedalloy)                                                = Molten Advanced Alloy
alumite                                           (plustic:plustic.molten_alumite)                                                 = Molten Alumite
osmium                                            (plustic:plustic.molten_osmium)                                                  = Molten Osmium
osgloglas                                         (plustic:plustic.molten_osgloglas)                                               = Molten Osgloglas
osmiridium                                        (plustic:plustic.molten_osmiridium)                                              = Molten Osmiridium
platinum                                          (tconstruct:molten_platinum)                                                     = Molten Platinum
blackquartz                                       ([no block])                                                                     = Molten Black Quartz
restonia                                          ([no block])                                                                     = Molten Restonia
palis                                             ([no block])                                                                     = Molten Palis
diamatine                                         ([no block])                                                                     = Molten Diamatine
void_crystal                                      ([no block])                                                                     = Molten Void Crystal
emeradic                                          ([no block])                                                                     = Molten Emeradic
enori                                             ([no block])                                                                     = Molten Enori
zinc                                              (tconstruct:molten_zinc)                                                         = Molten Zinc
iridium                                           ([no block])                                                                     = Molten Iridium
aluminum                                          (tconstruct:molten_aluminum)                                                     = Molten Aluminum
invar                                             ([no block])                                                                     = Molten Invar
amethyst                                          ([no block])                                                                     = Molten Amethyst
ruby                                              ([no block])                                                                     = Molten Ruby
sapphire                                          ([no block])                                                                     = Molten Sapphire
peridot                                           ([no block])                                                                     = Molten Peridot
magnite                                           ([no block])                                                                     = Molten Magnite
osmium                                            (plustic:plustic.molten_osmium)                                                  = Molten Osmium
thaumium                                          (plustic:plustic.molten_thaumium)                                                = Molten Thaumium
enderium                                          ([no block])                                                                     = Molten Enderium
lumium                                            ([no block])                                                                     = Molten Lumium
signalum                                          ([no block])                                                                     = Molten Signalum
lavium                                            ([no block])                                                                     = Molten Lavium
qivium                                            ([no block])                                                                     = Molten Qivium
gravitite                                         (tinkersaether:molten_gravitite)                                                 = Molten Gravitite
valkyrie                                          (tinkersaether:molten_valkyrie)                                                  = Molten Valkyrie Metal
mirion                                            (plustic:plustic.molten_mirion)                                                  = Molten Mirion
elementium                                        (plustic:plustic.molten_elementium)                                              = Molten Elementium
emerald                                           (tconstruct:molten_emerald)                                                      = Molten Emerald
